Participant,Task,Description,uGlyph,Actuator,Reciever,Context,Movement,Goodness,Social Comfort,Paradigm,Modal,Modal uGlyph,Coding Flag
p12,Dismiss,bloom,"i,m,r,p,t▲•◦","i,m,r,p,t",-,•◦,▲,5,4,Dedicated Gesture,FALSE,,
p10,Dismiss,reverse flick on thumb,t▼◦•(t•t),i,t t,◦•,▼,4,3,Dedicated Gesture,FALSE,,
p7,Dismiss,close gesture,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,4,5,Dedicated Gesture,FALSE,,
p2,Dismiss,close hand,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,4,4,Dedicated Gesture,FALSE,,
p3,Dismiss,close hand,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,5,4,Dedicated Gesture,FALSE,,
p4,Dismiss,close fist,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,4,4,Dedicated Gesture,FALSE,,
p8,Dismiss,close fist,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,4,4,Dedicated Gesture,FALSE,,
p9,Dismiss,close hand,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,5,4,Dedicated Gesture,FALSE,,
p11,Dismiss,close fist,"i,m,r,p,t▼◦•","i,m,r,p,t",-,◦•,▼,3,4,Dedicated Gesture,FALSE,,
p6,Dismiss,tap thumb and index,t▼◦•(l•t),t,i t,◦•,▼,4,4,Landmark Touch,FALSE,,
p5,Dismiss, tap  ring finger,t▼◦•(r•),t,r,◦•,▼,3,3,Landmark Touch,FALSE,,
p1,Dismiss,swipe thumbb down hand,"t▲••◦(i,m,r,p•f)",t,"i,m,r,p f",••◦,▼,3,4,Landmark Slide,FALSE,,*
p10,Pan,Pivot wrist to swap x and y. Scissors to pan,i↔◦◦(m◦),i,m,◦◦,↔,4,5,Relative Expansion,TRUE,wrist↻↺ ◦◦,
p7,Pan,slide thumb on index or middle finger for x or y,t↕••(i•|m•),t,i | m,••,↕,3,3,Landmark Slide,FALSE,,
p11,Pan,"raise all figners, thumb. Index joystick",i✥◦◦,i,-,◦◦,✥,4,4,Joystick,TRUE,"I,m,r,p,t▲◦◦",
p4,Pan,"pinch index middle together, joystick wrist",wrist✥◦◦,wrist,-,◦◦,✥,5,5,Joystick,TRUE,i▼◦•(m•),
p8,Pan,activate mode with tap then ,wrist✥◦◦,wrist,-,◦◦,✥,4,5,Joystick,TRUE,i▼◦◦,
p9,Pan,2 finger scissor and joystick,wrist✥◦◦,wrist,-,◦◦,✥,5,4,Joystick,TRUE,i▶◦•(r•),
p1,Pan,left tip of index as touchpad,t✥••(i•ft),t,i ft,••,✥,4,4,Body Touchpad,FALSE,,
p12,Pan,touchpad on left side of index,t✥••(i•l),t,i l,••,✥,4,5,Body Touchpad,FALSE,,
p2,Pan,use fingers  face as touchpad,"t✥(i,m•f)",t,"i,m f",••,✥,3,3,Body Touchpad,FALSE,,
p6,Pan,swipe on face of middle finger,t✥••(m•f),t,m f,••,✥,2,3,Body Touchpad,FALSE,,
p5,Pan,slide on middle front or fingers basses for x y,"t✥••(m•f|i,m,r,p•b)",t,"m f | i,m,r,p b",••,✥,4,5,Landmark Slide,FALSE,,
p3,Pan,use palm as touchpad for thumb,t✥••(palm•),t,palm,••,✥,3,4,Body Touchpad,FALSE,,
p8,Pitch,"raise index and thumb, then bend wrist",wrist↔◦◦,wrist,-,◦◦,↔,4,4,Pose Proxy,TRUE,"t,i▲◦◦",
p10,Pitch,swipe thumb along inside fingers,"t↔••(i,m,r,p•f)",t,"i,m,r,p f",••,↔,4,5,Landmark Slide,FALSE,,
p12,Pitch,slide thumb across finger tips,"t↔••(i,r,m,p•t)",t,"i,r,m,p t",••,↔,4,5,Landmark Slide,FALSE,,
p7,Pitch,use index andmiddle as joystick,"i,m↕◦◦","i,m",-,◦◦,↕,4,4,Joystick,FALSE,,*
p3,Pitch,bend fingers,"i,m,r,p↕◦◦","i,m,r,p",-,◦◦,↕,3,3,Pose Proxy,FALSE,,
p5,Pitch,flattening figners then pivot wrist,wrist↕◦◦,wrist,-,◦◦,↕,3,3,Pose Proxy,TRUE,"I,m,r,p▲◦◦",
p11,Pitch,raise index and thumb and pivot wrist,wrist↕◦◦,wrist,-,◦◦,↕,3,3,Pose Proxy,TRUE,"t,i▲◦◦",
p1,Pitch,slide along middle of middle finger,t↕••(i•ml),t,i ml,••,↕,4,5,Landmark Slide,FALSE,,
p9,Pitch,slide along index with thumb,t↕••(i•t),t,i t,••,↕,4,5,Landmark Slide,FALSE,,
p6,Pitch,swipe along index middle,"t↕••(i,m•f)",t,"i,m f",••,↕,3,3,Landmark Slide,FALSE,,
p2,Pitch,slide along middle finger,t↕••(m•f),t,m f,••,↕,3,3,Landmark Slide,FALSE,,
p4,Pitch,hand in air pinchs; turn hand up,wrist↻↺ ◦◦,wrist,-,◦◦,↻↺,4,4,Pose Proxy,TRUE,"t▼◦◦(I,m,r,p◦)",
p7,Reposition,slide thumb on index mcp,t↔••(i•MCP),t,i mcp,••,↔,4,4,Landmark Slide,FALSE,,
